yyyymm	yyyymm2	av	hi
1922/3/11	1922/3/20	8.4	18.5
1922/3/21	1922/3/31	5.8	16
1922/4/1	1922/4/10	10.8	18.9
1922/4/11	1922/4/20	11.4	21.8
1922/4/21	1922/4/30	18.1	30.5
1922/5/1	1922/5/10	16	26.4
1922/5/11	1922/5/20	18.2	28.4
1922/5/21	1922/5/31	19.4	29
1922/6/1	1922/6/10	21.2	30.8
1922/6/11	1922/6/20	23.6	32.1
1922/6/21	1922/6/30	23.3	31.1
1922/7/1	1922/7/10	24.6	29.7
1922/7/11	1922/7/20	25.5	31.7
1922/7/21	1922/7/31	28	35.1
1922/8/1	1922/8/10	29	36.8
1922/8/11	1922/8/20	29.1	36.5
1922/8/21	1922/8/31	27.2	35.2
1922/9/1	1922/9/10	26.2	34.3
1922/9/11	1922/9/20	26.2	34.7
1922/9/21	1922/9/30	21.5	30.6
1922/10/1	1922/10/10	19.4	27.9
1922/10/11	1922/10/20	16.2	25.8
1922/10/21	1922/10/31	15.2	27.8
1922/11/1	1922/11/10	14.9	25.5
1922/11/11	1922/11/20	10.4	20.7
1922/11/21	1922/11/30	8.2	17
1922/12/1	1922/12/10	5.3	13.1
1922/12/11	1922/12/20	2.2	8
1922/12/21	1922/12/31	4.1	13.1
1923/1/1	1923/1/10	0	9.3
1923/1/11	1923/1/20	0.9	8.4
1923/1/21	1923/1/31	2.4	9.8
1923/2/1	1923/2/10	1.6	8.4
1923/2/11	1923/2/20	6.5	16.2
1923/2/21	1923/2/28	2.3	10.7
1923/3/1	1923/3/10	4.4	14
1923/3/11	1923/3/20	8.8	16.7
1923/3/21	1923/3/31	11.4	23.4
1923/4/1	1923/4/10	10.8	19.7
1923/4/11	1923/4/20	12.4	23.1
1923/4/21	1923/4/30	15	26.4
1923/5/1	1923/5/10	16.6	24.4
1923/5/11	1923/5/20	18.1	25.4
1923/5/21	1923/5/31	18.2	25.2
1923/6/1	1923/6/10	18.9	28.4
1923/6/11	1923/6/20	22.8	30.6
1923/6/21	1923/6/30	21.4	29.5
1923/7/1	1923/7/10	21.6	28.8
1923/7/11	1923/7/20	25.2	34.2
1923/7/21	1923/7/31	27.8	35.8
1923/8/1	1923/8/10	28.1	37
1923/8/11	1923/8/20	28.5	37.7
1923/8/21	1923/8/31	26.9	35.5
1923/9/1	1923/9/10	25.5	31.7
1923/9/11	1923/9/20	24.1	31.5
1923/9/21	1923/9/30	20.2	28.6
1923/10/1	1923/10/10	18	25.8
1923/10/11	1923/10/20	15.7	24.6
1923/10/21	1923/10/31	15.4	24.3
1923/11/1	1923/11/10	14.2	27.2
1923/11/11	1923/11/20	10.4	20.7
1923/11/21	1923/11/30	9	17.5
1923/12/1	1923/12/10	7.4	20.2
1923/12/11	1923/12/20	5.8	14.3
